linha_origem,Munícipios,EstacaoCodigo,Rios,Coordenadas (UTM),Altitude (m),Campanha,Periodo certificação,Ano,Data,Hora,Temp Ar,Temp Amostra,pH,Turbidez,Condutividade Eletrica,DBO,OD,OD (%),SolSuspensaoTotais,SolDissolvidosTotais,FosfatoTotal,NitrogenioTotal,NitrogenioAmoniacal,Nitratos,ColiformesTotais,AlcalinidadeTotal,CarbonoOrganicoTotal,OrtofosfatoTotal,DescargaLiquida,FosforoTotal,IQA,ColiformesTermotolerantes,Escherichia,CondutividadeEspecifica,Cloreto,Ortofosfato Dissolvido,IQA %,IQA CETESB
31,ASSIS BRASIL,13438000,ACRE,,,Primeira,Segundo,2017,2017-03-28,17:40,,26.072,6.8551,246.51489,,,6.8362,,,,,,,,,,,,,,,<1,,,,,,
32,XAPURI,13550001,ACRE,,,Primeira,Segundo,2017,2017-03-29,12:26,,27.0382,7.2339,573.112,,,6.4904,,,,,,,,,,,,,,,<1,,,,,,
33,BRASILEIA,13459000,ACRE,,,Primeira,Segundo,2017,2017-03-30,10:44,,26.0537,5.9872,33.4488,,,3.945,,,,,,,,,,,,,,,<1,,,,,,
34,JORDAO,12557000,TARAUACA,,,Primeira,Segundo,2017,2017-03-30,14:44,,26.0537,5.9872,33.4488,21.1709,,3.945,,,,,,,,,,,,,,,,,,,,,
35,SENA MADUREIRA,13408000,IACO,,,Primeira,Segundo,2017,2017-03-31, 11:26:00,,27.2734,7.245,470.73749,85.9627,,5.7213,,,,,,,,,,,,,,,,,,,,,
36,TARAUACA,12600002,TARAUACA,,,Primeira,Segundo,2017,2017-04-01, 07:09:00,,26.5652,7.9708,722.73798,156.2657,,5.7781,,,,,,,,,,,,,,,,,,,,,
37,FEIJO,12660000,ENVIRA,,,Primeira,Segundo,2017,2017-04-01, 15:33:00,,27.2435,8.0488,375.6882,201.3365,,5.3349,,,,,,,,,,,,,,,,,,,,,
38,PORTO ACRE ,13610001,ACRE,,,Primeira,Segundo,2017,2017-04-02, 08:50:00,,25.9737,7.63,74.4948,45.8538,,5.6755,,,,,,,,,,,,,,,<1,,,,,,
39,MANOEL URBANO ,13190000,PURUS,,,Primeira,Segundo,2017,2017-04-02,12:13,,27.3198,7.7634,348.1106,61.2983,,5.1542,,,,,,,,,,,,,,,,,,,,,
40,MANCIO LIMA,12430000,MOA,,,Primeira,Segundo,2017,2017-04-05,17:21,,25.6215,6.1122,8.4059,26.5402,,3.3653,,,,,,,,,,,,,,,,,,,,,
41,CRUZEIRO DO SUL ,12500004,JURUA,,,Primeira,Segundo,2017,2017-04-06,10:13,,25.9877,6.9435,538.23621,86.192,,3.6753,,,,,,,,,,,,,,,,,,,,,
42,PLACIDO DE CASTRO,15324300,ABUNA,,,Primeira,Segundo,2017,2017-04-08, 08:11:00,,27.8051,7.6786,326.2413,213.1813,,5.8115,,,,,,,,,,,,,,,,,,,,,
43,SENADOR GUIOMARD,13770000,IQUIRI,,,Primeira,Segundo,2017,2017-04-19,08:15,,25.5638,8.6355,170.6748,289.379,,7.3837,,,,,,,,,,,,,,,,,,,,,
44,MARECHAL THAUMATURGO ,12369000,JURUA,,,Primeira,Segundo,2017,2017-04-20,07:10,,27.2071,7.93,228.4675,303.66449,,6.4389,,,,,,,,,,,,,,,,,,,,,
45,PORTO WALTER ,12389000,JURUA,,,Primeira,Segundo,2017,2017-04-20,14:38,,27.6155,7.8091,256.85739,197.9599,,6.1094,,,,,,,,,,,,,,,,,,,,,
46,MANCIO LIMA,12430000,MOA,,,Segunda,Segundo,2017,2017-07-19, 08:48:00,,25.0238,8.1759,43.2763,57.1165,,6.762,,,,,,,,,,,,,,,,,,,,,
47,PORTO WALTER ,12389000,JURUA,,,Primeira,Terceiro,2017,2017-10-27,07:20,,28.9916,7.6642,164.981,208.2467,,7.8012,,,,,,,,,,,,,,,,,,,,,
48,JORDAO,12557000,TARAUACA,,,Primeira,Terceiro,2017,2017-11-01,06:47,,28.9616,7.7721,180.53101,236.8589,,7.5359,,,,,,,,,,,,,,,,,,,,,
49,XAPURI,13550001,ACRE,,,Segunda,Terceiro,2018,2018-02-07,08:35,,26.6975,6.8493,830.59363,,,6.2062,,,,,,,,,,,,,,,<1,,,,,,
50,BRASILEIA,13459000,ACRE,,,Segunda,Terceiro,2018,2018-02-08,07:35,,27.1886,7.0669,666.04468,,,6.5729,,,,,,,,,,,,,,,<1,,,,,,
51,CRUZEIRO DO SUL ,12500004,JURUA,,,Segunda,Terceiro,2018,2018-02-19,1900-01-01,25.4,25.37,6.94,796.32001,88.01,,3.86,,,,,,,,,,,,,,,,,,,,,
52,MANCIO LIMA,12430000,MOA,,,Segunda,Terceiro,2018,2018-02-20,1900-01-01,23.8,25.47,5.84,56.2,23,,4.71,,,,,,,,,,,,,,,,,,,,,
53,PLACIDO DE CASTRO,15324300,ABUNA,,,Segunda,Terceiro,2018,2018-02-27,1900-01-01,25.3,24.63,6.67,32.28,15.25,,5.71,,,,,,,,,,,,,,,,,,,,,
54,SENADOR GUIOMARD,13770000,IQUIRI,,,Segunda,Terceiro,2018,2018-02-28,1900-01-01,24.9,25.12,5.81,29.73,15.48,,4.09,,,,,,,,,,,,,,,,,,,,,
55,XAPURI,13550001,ACRE,,,Primeira,Quarto,2018,2018-05-12,1900-01-01,,27.03,7.17,316.10001,,,6.87,,,,,,,,,,,,,,,<1,,,,,,
56,JORDAO,12557000,TARAUACA,,,Primeira,Quarto,2018,2018-05-25,1900-01-01,25.2,27.2,7.91,38.89,438.45999,,7.27,,,,,,,,,,,,,,,,,,,,,
57,CRUZEIRO DO SUL ,12500004,JURUA,,,Primeira,Quarto,2018,2018-05-26,1900-01-01,,24.13,6.94,186.50999,186.50999,,3.86,,,,,,,,,,,,,,,,,,,,,
58,MANCIO LIMA,12430000,MOA,,,Primeira,Quarto,2018,2018-05-26,1900-01-01,,23.55,5.76,18.64,18.59,,3.96,,,,,,,,,,,,,,,,,,,,,
59,SENADOR GUIOMARD,13770000,IQUIRI,,,Primeira,Quarto,2018,2018-05-31,1900-01-01,,24.23,6.23,19.14,13.92,,6.66,,,,,,,,,,,,,,,,,,,,,
60,PLACIDO DE CASTRO,15324300,ABUNA,,,Primeira,Quarto,2018,2018-05-31,1900-01-01,,24.35,6.43,91.78,16.63,,6.63,,,,,,,,,,,,,,,,,,,,,
61,TARAUACA,12600002,TARAUACA,,,Primeira,Quinto,2018,2018-08-22,07:30,20.52,23.99,8.03,110.8,223.8,,7.43,,0.0668,91.9,,0.04,,,,,,,,0.01,,,,,,,,
62,CRUZEIRO DO SUL ,12500004,JURUA,,,Primeira,Quinto,2018,2018-08-21, 08:30:00,22,27.15,7.23,98.34,94.1,,6.18,,0.0728,49,,0.04,,,,,,,,0.01,,,,,,,,
